name,config_path
vscode,".config/Code - OSS/User/settings.json"
i3,.config/i3
i3status,.config/i3status
blurlock,.local/bin/blurlock
nordlock,.local/bin/blurlock
i3exit,/usr/bin/i3exit
kitty,.config/kitty
spicetify,.config/spicetify
dir_colors,.dir_colors
dmenu,.dmenurc
dunst,.config/dunst
git,.gitconfig|.gitconfig-work
transfer.sh,transfer.sh
vim,.vim|.vimrc
X,.Xresources
zsh,.zshrc|.zsh_history
NetworkManager,/etc/NetworkManager/system-connections
qt5ct,.config/qt5ct/qt5ct.conf
autojump,.local/share/autojump/autojump.txt
gtk3,.config/gtk-3.0/settings.ini
gtk2,.gtkrc-2.0
lxappearance,
compton,.config/compton.conf
